"time (s)","v("/out" ?result "tran-tran") (V)"
0.00000,0.00000
1.786E-13,0.00000
3.571E-13,0.00000
7.143E-13,0.00000
1.429E-12,0.00000
2.857E-12,0.00000
5.714E-12,0.00000
1.143E-11,0.00000
2.286E-11,0.00000
3.607E-11,0.00000
3.643E-11,0.00000
3.714E-11,0.00000
3.857E-11,0.00000
4.143E-11,0.00000
4.714E-11,0.00000
5.857E-11,0.00000
8.143E-11,0.00000
1.121E-10,0.00000
1.429E-10,0.00000
1.43E-10,0.00000
1.432E-10,0.00000
1.436E-10,0.00000
1.443E-10,0.00000
1.457E-10,0.00000
1.486E-10,0.00000
1.543E-10,0.00000
1.657E-10,0.00000
1.789E-10,0.00000
1.793E-10,0.00000
1.8E-10,0.00000
1.814E-10,0.00000
1.843E-10,0.00000
1.900E-10,0.00000
2.014E-10,0.00000
2.243E-10,0.00000
2.550E-10,0.00000
2.857E-10,0.00000
2.859E-10,0.00000
2.861E-10,0.00000
2.864E-10,0.00000
2.871E-10,0.00000
2.886E-10,0.00000
2.914E-10,0.00000
2.971E-10,0.00000
3.086E-10,0.00000
3.218E-10,0.00000
3.221E-10,0.00000
3.229E-10,0.00000
3.243E-10,0.00000
3.271E-10,0.00000
3.329E-10,0.00000
3.443E-10,0.00000
3.671E-10,0.00000
3.979E-10,0.00000
4.286E-10,0.00000
4.288E-10,0.00000
4.289E-10,0.00000
4.293E-10,0.00000
4.3E-10,0.00000
4.314E-10,0.00000
4.343E-10,0.00000
4.4E-10,0.00000
4.514E-10,0.00000
4.646E-10,0.00000
4.65E-10,0.00000
4.657E-10,0.00000
4.671E-10,0.00000
4.7E-10,0.00000
4.757E-10,0.00000
4.871E-10,0.00000
5.100E-10,0.00000
5.407E-10,0.00000
5.714E-10,0.00000
5.716E-10,0.00000
5.718E-10,0.00000
5.721E-10,0.00000
5.729E-10,0.00000
5.743E-10,0.00000
5.771E-10,0.00000
5.829E-10,0.00000
5.943E-10,0.00000
6.075E-10,0.00000
6.079E-10,0.00000
6.086E-10,0.00000
6.100E-10,0.00000
6.129E-10,0.00000
6.186E-10,0.00000
6.3E-10,0.00000
6.529E-10,0.00000
6.836E-10,0.00000
7.143E-10,0.00000
7.145E-10,0.00000
7.146E-10,0.00000
7.15E-10,0.00000
7.157E-10,0.00000
7.171E-10,0.00000
7.2E-10,0.00000
7.257E-10,0.00000
7.371E-10,0.00000
7.504E-10,0.00000
7.507E-10,0.00000
7.514E-10,0.00000
7.529E-10,0.00000
7.557E-10,0.00000
7.614E-10,0.00000
7.729E-10,0.00000
7.957E-10,0.00000
8.264E-10,0.00000
8.571E-10,0.00000
8.573E-10,0.00000
8.575E-10,0.00000
8.579E-10,0.00000
8.586E-10,0.00000
8.6E-10,0.00000
8.629E-10,0.00000
8.686E-10,0.00000
8.8E-10,0.00000
8.932E-10,0.00000
8.936E-10,0.00000
8.943E-10,0.00000
8.957E-10,0.00000
8.986E-10,0.00000
9.043E-10,0.00000
9.157E-10,0.00000
9.386E-10,0.00000
9.693E-10,0.00000
1.0E-9,0.00000
1.0E-9,0.00000
1.0E-9,0.00000
1.001E-9,0.00000
1.001E-9,0.00000
1.003E-9,0.00000
1.006E-9,0.00000
1.011E-9,0.00000
1.023E-9,0.00000
1.036E-9,0.00000
1.036E-9,0.00000
1.037E-9,0.00000
1.039E-9,0.00000
1.041E-9,0.00000
1.047E-9,0.00000
1.059E-9,0.00000
1.081E-9,0.00000
1.112E-9,0.00000
1.143E-9,0.00000
1.143E-9,0.00000
1.143E-9,0.00000
1.144E-9,0.00000
1.144E-9,0.00000
1.146E-9,0.00000
1.149E-9,0.00000
1.154E-9,0.00000
1.166E-9,0.00000
1.179E-9,0.00000
1.179E-9,0.00000
1.18E-9,0.00000
1.181E-9,0.00000
1.184E-9,0.00000
1.19E-9,0.00000
1.201E-9,0.00000
1.224E-9,0.00000
1.255E-9,0.00000
1.286E-9,0.00000
1.286E-9,0.00000
1.286E-9,0.00000
1.286E-9,0.00000
1.287E-9,0.00000
1.289E-9,0.00000
1.291E-9,0.00000
1.297E-9,0.00000
1.309E-9,0.00000
1.322E-9,0.00000
1.322E-9,0.00000
1.323E-9,0.00000
1.324E-9,0.00000
1.327E-9,0.00000
1.333E-9,0.00000
1.344E-9,0.00000
1.367E-9,0.00000
1.398E-9,0.00000
1.429E-9,0.00000
1.429E-9,0.00000
1.429E-9,0.00000
1.429E-9,0.00000
1.43E-9,0.00000
1.431E-9,0.00000
1.434E-9,1.995E-3
1.436E-9,4.297E-3
1.442E-9,4.297E-3
1.452E-9,4.297E-3
1.465E-9,4.297E-3
1.465E-9,4.297E-3
1.466E-9,4.297E-3
1.467E-9,4.297E-3
1.47E-9,4.297E-3
1.476E-9,4.297E-3
1.487E-9,4.297E-3
1.51E-9,4.297E-3
1.541E-9,4.297E-3
1.571E-9,4.297E-3
1.572E-9,4.297E-3
1.572E-9,4.297E-3
1.572E-9,4.297E-3
1.573E-9,4.297E-3
1.574E-9,4.297E-3
1.577E-9,4.297E-3
1.583E-9,4.297E-3
1.594E-9,4.297E-3
1.608E-9,4.297E-3
1.608E-9,4.297E-3
1.609E-9,4.297E-3
1.61E-9,4.297E-3
1.613E-9,4.297E-3
1.619E-9,4.297E-3
1.630E-9,4.297E-3
1.653E-9,4.297E-3
1.684E-9,4.297E-3
1.714E-9,4.297E-3
1.714E-9,4.297E-3
1.715E-9,4.297E-3
1.715E-9,4.297E-3
1.716E-9,4.297E-3
1.717E-9,4.297E-3
1.72E-9,4.297E-3
1.726E-9,4.297E-3
1.737E-9,4.297E-3
1.75E-9,4.297E-3
1.751E-9,4.297E-3
1.751E-9,4.297E-3
1.753E-9,4.297E-3
1.756E-9,4.297E-3
1.761E-9,4.297E-3
1.773E-9,4.297E-3
1.796E-9,4.297E-3
1.826E-9,4.297E-3
1.857E-9,4.297E-3
1.857E-9,4.297E-3
1.857E-9,4.297E-3
1.858E-9,4.297E-3
